dateid01,dateid,gdp,infl,lgdp,lgdp_gap,mpr,rer,rer_gap
1990-01-01,1990-03-31 23:59:59.999,101887,8.5,11.531619635017342,0.019895392008972836,16.75,116.7,-1.3164751991349278
1990-04-01,1990-06-30 23:59:59.999,103941,7.5,11.551578709451308,0.030691456760122192,15.25,118.6,1.716829404857748
1990-07-01,1990-09-30 23:59:59.999,103425,6.1,11.546601991329612,0.016539294335615296,14.00,120.9,5.1509568058498872
1990-10-01,1990-12-31 23:59:59.999,104792,6.9,11.559732712077486,0.020450519380201372,12.00,113.4,-1.2143432175371344
1991-01-01,1991-03-31 23:59:59.999,103170,5.0,11.544133392094422,-0.0044543015460511984,12.00,114.1,0.61745976531446448
1991-04-01,1991-06-30 23:59:59.999,103497,3.5,11.547297905760226,-0.010736029477373066,10.50,116.8,4.4436551495334984
1991-07-01,1991-09-30 23:59:59.999,104205,3.1,11.554115391795092,-0.013557477169147348,9.50,118.7,7.4611464178953776
1991-10-01,1991-12-31 23:59:59.999,105190,1.5,11.56352351773332,-0.014026218544222146,8.50,115.5,5.364059768707136
1992-01-01,1992-03-31 23:59:59.999,106712,1.7,11.57788889582088,-0.009812409390537624,7.50,110.4,1.3418581837646996
1992-04-01,1992-06-30 23:59:59.999,107069,1.2,11.581228765424382,-0.016926811988806634,6.50,110.8,2.7806521075084164
1992-07-01,1992-09-30 23:59:59.999,108147,0.8,11.591246691745426,-0.017687730028884018,5.75,103.8,-3.2342866769861444
1992-10-01,1992-12-31 23:59:59.999,110289,0.3,11.61085947225392,-0.0091896556748345408,5.75,101.2,-4.9194242942106568
1993-01-01,1993-03-31 23:59:59.999,112332,1.2,11.629214051159744,-0.0022858795194800052,5.25,101.0,-4.2892054394837656
1993-04-01,1993-06-30 23:59:59.999,113381,1.8,11.63850910773709,-0.0047722135565457792,5.25,98.1,-6.4550001679402272
1993-07-01,1993-09-30 23:59:59.999,113266,2.2,11.637494313719352,-0.017892048645844482,4.75,94.4,-9.5254977813150672
1993-10-01,1993-12-31 23:59:59.999,115824,1.8,11.659827076532922,-0.0079780573207273168,4.75,94.5,-8.9053532062384736
1994-01-01,1994-03-31 23:59:59.999,117964,1.5,11.67813477215422,-0.0023817610340906016,4.75,101.8,-1.193267933227176
1994-04-01,1994-06-30 23:59:59.999,119614,1.6,11.692025170504236,-0.00146930100845033,4.75,101.7,-0.98237760704405728
1994-07-01,1994-09-30 23:59:59.999,122075,1.8,11.71239088892986,0.0056795175602317728,5.50,101.3,-1.1650720799937488
1994-10-01,1994-12-31 23:59:59.999,122503,2.8,11.715890798462966,-0.0042479385258911152,7.50,102.5,0.16687278162353892
1995-01-01,1995-03-31 23:59:59.999,124422,3.9,11.731434292525896,-0.0023173297726639676,7.50,100.0,-2.2775907184424112
1995-04-01,1995-06-30 23:59:59.999,126675,4.5,11.74938003034411,0.0018576040787632308,7.50,92.7,-9.5896145719302976
1995-07-01,1995-09-30 23:59:59.999,128862,5.1,11.76649734329235,0.0050752437676386816,7.50,98.0,-4.3589272763797024
1995-10-01,1995-12-31 23:59:59.999,131800,4.9,11.789040901050544,0.013618147335854758,7.50,100.8,-1.669263820222767
1996-01-01,1996-03-31 23:59:59.999,133459,3.8,11.801549593547764,0.012049921047085022,7.50,103.1,0.49836513765609424
1996-04-01,1996-06-30 23:59:59.999,135030,3.1,11.813252254955088,0.009615604064928008,7.50,108.2,5.4639922282601248
1996-07-01,1996-09-30 23:59:59.999,136325,2.1,11.822797019794262,0.0049720047029904176,7.00,108.2,5.3473386043814768
1996-10-01,1996-12-31 23:59:59.999,138113,1.7,11.835827469652002,0.0037653685873113576,6.00,109.9,6.9647104236696864
1997-01-01,1997-03-31 23:59:59.999,138987,1.2,11.84213568255922,-0.004212669714823036,6.00,111.1,8.129071757146448
1997-04-01,1997-06-30 23:59:59.999,142733,0.3,11.868731031109574,0.0080444655712526016,5.50,109.9,6.949033731818744
1997-07-01,1997-09-30 23:59:59.999,143713,-0.3,11.875573534224422,0.00049662946648432184,5.00,107.5,4.6281268048452944
1997-10-01,1997-12-31 23:59:59.999,147629,-0.3,11.902457648814208,0.012933087189912484,5.00,107.7,4.9655382873025216
1998-01-01,1998-03-31 23:59:59.999,148253,-0.1,11.906675552742914,0.0026405145207011316,5.00,111.6,9.0575629110136896
1998-04-01,1998-06-30 23:59:59.999,149393,0.7,11.914335696500168,-0.0042862233158391664,5.00,105.5,3.1973919463725908
1998-07-01,1998-09-30 23:59:59.999,152042,1.3,11.93191207744971,-0.0013883645418584222,5.00,102.1,0.072555686953563744
1998-10-01,1998-12-31 23:59:59.999,155020,1.5,11.951309419835502,0.00322625839028845,4.75,99.1,-2.6314139436354792
1999-01-01,1999-03-31 23:59:59.999,156476,1.2,11.960657922569734,-0.0023238445756845748,4.75,101.4,-0.029030369090961016
1999-04-01,1999-06-30 23:59:59.999,157122,1.0,11.964777852631514,-0.013232111840631334,4.75,106.2,5.0668376206055112
1999-07-01,1999-09-30 23:59:59.999,160274,1.6,11.98464012955975,-0.0085398768427555888,4.75,105.5,4.6433393794530104
1999-10-01,1999-12-31 23:59:59.999,163272,1.8,12.003172800693006,-0.0053230751507005184,5.00,102.9,2.2844574879377008
